index,Date,Time,Global_active_power
0,1/1/07,0:00:00,2.58
1,1/1/07,0:01:00,2.552
2,1/1/07,0:02:00,2.55
3,1/1/07,0:03:00,2.55
4,1/1/07,0:04:00,2.554
5,1/1/07,0:05:00,2.55
6,1/1/07,0:06:00,2.534
7,1/1/07,0:07:00,2.484
8,1/1/07,0:08:00,2.468
9,1/1/07,0:09:00,2.486
10,1/1/07,0:10:00,2.492
11,1/1/07,0:11:00,2.5
12,1/1/07,0:12:00,2.494
13,1/1/07,0:13:00,2.492
14,1/1/07,0:14:00,2.48
15,1/1/07,0:15:00,2.478
16,1/1/07,0:16:00,2.47
17,1/1/07,0:17:00,2.466
18,1/1/07,0:18:00,2.456
19,1/1/07,0:19:00,2.46
20,1/1/07,0:20:00,2.544
21,1/1/07,0:21:00,2.55
22,1/1/07,0:22:00,2.554
23,1/1/07,0:23:00,2.65
24,1/1/07,0:24:00,2.682
25,1/1/07,0:25:00,2.66
26,1/1/07,0:26:00,2.65
27,1/1/07,0:27:00,2.654
28,1/1/07,0:28:00,2.642
29,1/1/07,0:29:00,2.644
30,1/1/07,0:30:00,2.648
31,1/1/07,0:31:00,2.646
32,1/1/07,0:32:00,2.644
33,1/1/07,0:33:00,2.656
34,1/1/07,0:34:00,2.65
35,1/1/07,0:35:00,2.642
36,1/1/07,0:36:00,2.63
37,1/1/07,0:37:00,2.606
38,1/1/07,0:38:00,2.556
39,1/1/07,0:39:00,2.602
40,1/1/07,0:40:00,2.602
41,1/1/07,0:41:00,2.594
42,1/1/07,0:42:00,2.6
43,1/1/07,0:43:00,2.602
44,1/1/07,0:44:00,2.6
45,1/1/07,0:45:00,2.598
46,1/1/07,0:46:00,2.59
47,1/1/07,0:47:00,2.554
48,1/1/07,0:48:00,2.484
49,1/1/07,0:49:00,2.472
50,1/1/07,0:50:00,2.486
51,1/1/07,0:51:00,2.486
52,1/1/07,0:52:00,2.482
53,1/1/07,0:53:00,2.484
54,1/1/07,0:54:00,2.48
55,1/1/07,0:55:00,2.458
56,1/1/07,0:56:00,2.46
57,1/1/07,0:57:00,2.462
58,1/1/07,0:58:00,2.472
59,1/1/07,0:59:00,2.466
60,1/1/07,1:00:00,2.466
61,1/1/07,1:01:00,2.59
62,1/1/07,1:02:00,2.59
63,1/1/07,1:03:00,2.576
64,1/1/07,1:04:00,2.566
65,1/1/07,1:05:00,2.564
66,1/1/07,1:06:00,2.56
67,1/1/07,1:07:00,2.552
68,1/1/07,1:08:00,2.564
69,1/1/07,1:09:00,2.558
70,1/1/07,1:10:00,2.56
71,1/1/07,1:11:00,2.576
72,1/1/07,1:12:00,2.57
73,1/1/07,1:13:00,2.56
74,1/1/07,1:14:00,2.566
75,1/1/07,1:15:00,2.502
76,1/1/07,1:16:00,2.482
77,1/1/07,1:17:00,2.478
78,1/1/07,1:18:00,2.482
79,1/1/07,1:19:00,2.58
80,1/1/07,1:20:00,2.564
81,1/1/07,1:21:00,2.58
82,1/1/07,1:22:00,2.572
83,1/1/07,1:23:00,2.566
84,1/1/07,1:24:00,2.57
85,1/1/07,1:25:00,2.57
86,1/1/07,1:26:00,2.566
87,1/1/07,1:27:00,2.504
88,1/1/07,1:28:00,2.474
89,1/1/07,1:29:00,2.456
90,1/1/07,1:30:00,2.448
91,1/1/07,1:31:00,2.446
92,1/1/07,1:32:00,2.452
